Website,IRS EIN,Facebook,Name,Address,Twitter,Phone Number,Email,Instagram
www.chulaleague.org,20-3612448,https://facebook.com/chulaleagueaustin,Chula League,"PO Box 4283,Austin,  78765",https://twitter.com/chulaleague,512-963-0198,ann@chulaleague.org,
www.commongoodaustin.org,46-3688200,https://www.facebook.com/FreeStoreAustin?bookmark_t=page,Common Good Community Development,"6100 Berkman Drive,Austin, Texas 78723",https://twitter.com/FreeStoreAustin,512-615-2119,rachel@freestoreaustin.org,
www.collegehouses.org,74-1648710,https://www.facebook.com/collegehouses,College Houses,"1906 Pearl St.,Austin, Texas 78705",,512-476-5678,kim@collegehouses.org,https://www.instagram.com/collegehouses
www.coloradoriver.org,74-2631397,https://www.facebook.com/ColoradoRiverAlliance,Colorado River Alliance,"PO Box 50029,Austin,  78763",https://twitter.com/txcoloradoriver,512-498-1587,contact@coloradoriver.org,
www.code2college.org,81-2361556,https://www.facebook.com/code2college/,"Code2College, Inc.","19112 Leigh Lane,Pflugerville,  78660",https://twitter.com/code2college,917-589-0847,matt@code2college.org,https://www.instagram.com/code2college/
www.colinshope.org,30-0500004,https://www.facebook.com/pages/Colins-Hope/116177928420112,Colin's Hope,"3267 Bee Caves Rd,Austin,   78746-6700",https://www.twitter.com/colinshope,512-222-7591,info@colinshope.org,
www.cforr.org,20-0620714,https://www.facebook.com/communitiesforrecovery,Communities for Recovery,"4110 Guadalupe,Austin, Texas 78751",https://www.twitter.com/c4raustin,512-758-7686,emma.randles@cforr.org,https://www.instagram.com/communities4recovery
www.txdisabilities.org,74-2071160,https://www.facebook.com/TxDisabilities,Coalition of Texans with Disabilities,"1716 San Antonio St.,Austin, Texas 78701",https://twitter.com/txdisabilities,512-478-3366,wgreer@txdisabilities.org,
www.austincockerrescue.org,20-5647630,https://www.facebook.com/AustinCocker,Cocker Spaniel Rescue of Austin,"PO Box 27453,Austin,  78755",https://www.twitter.com/AustinCocker,512-527-9923,woof@austincockerrescue.org,https://www.instagram.com/AustinCocker
cliffordantonefoundation.org,47-3892136,https://www.facebook.com/CliffordAntoneFoundation/?fref=ts,Clifford Antone Foundation,"PO Box 6493,Austin, Texas 78762",https://twitter.com/Clifford_Antone,512-482-9748,santone8@gmail.com,https://www.instagram.com/cliffordantonefoundation/
www.ciscentraltexas.org,74-2369020,https://www.facebook.com/CommunitiesInSchoolsofCentralTexas,Communities In Schools of Central Texas,"3000 South IH-35,Austin, Texas 78704",https://twitter.com/ciscentraltx,512-462-9772,cmccollum@ciscentraltexas.org,
www.cleanairforce.org,74-2768391,https://www.facebook.com/CLEAN-AIR-Force-of-Central-Texas-60700478852/?ref=hl,CLEAN AIR Force of Central Texas,"P.O. Box 29295,Austin,  78755",https://twitter.com/,512-225-7780,sarah@cleanairforce.org,
www.healthygulf.org,72-1447742,https://www.facebook.com/healthygulf/,Gulf Restoration Network,"3715 S 1st Street,Austin, Texas 78704",https://twitter.com/HealthyGulf,504-525-2518,info@healthygulf.org,https://@healthygulf
www.friendsofbluehole.org,20-3415046,https://www.facebook.com/pages/Friends-of-Blue-Hole/771041309580827,Friends of Blue Hole,"PO Box 1601,Wimberley,  78676",,512-289-8166,info@friendsofbluehole.org,
flatx.org,74-2989060,https://www.facebook.com/librariesandarchivesTX/,Friends of Libraries and Archives of Texas,"1201 Brazos,Austin, Texas 78701",,512-463-5514,ssiwinski@tsl.texas.gov,
www.austinpowwow.net,74-2630318,https://www.facebook.com/GreatPromiseForAmericanIndians/,Great Promise for American Indians,"3710 Cedar St #19,Austin, Texas 78705",,512-371-0628,robert@austinpowwow.net,
www.harthtx.org,47-3604220,https://HARTHFoundation,HARTH Foundation,"3307 Sunset Cliff Rd,Burnet, Texas 78611",https://@harthtx,512-656-7698,sherrya@harthtx.org,https://@harthtx
hotlabrescue.org,74-2890332,https://www.facebook.com/HOTLab,Heart of Texas Lab Rescue,"P.O. Box 81821,Austin,  78708",https://twitter.com/HOTLabRescue,512-259-5810,hotlr@hotlabrescue.org,
www.myhaam.org,80-0147620,https://www.facebook.com/myhaam,Health Alliance for Austin Musicians,"3010 S. Lamar Blvd,Austin,  78704",https://www.twitter.com/myhaamÃ�Â¢Ã¯Â¿Â½Ã¯Â¿Â½,512-541-4226,alex@myhaam.org,
www.healingwithhorsesranch.org,45-2792151,https://www.facebook.com/HealingwithHorsesRanch,Healing with Horses Ranch,"10014 FM 973,Manor, Texas 78653",https://twitter.com/HHRanchTX,512-964-0360,healingwithhorsesranch@gmail.com,
www.emancipet.org,74-2913624,https://www.facebook.com/emancipet,Emancipet,"7010 Easy Wind Dr, Ste. 260,Austin, Texas 78752",https://twitter.com/emancipet,512-587-7729,kathleen.nobbe@emancipet.org,
www.headwaters.org,74-3020203,https://www.facebook.com/headwatersschool/,Headwaters School,"801 Rio Grande,Austin,  78701",https://twitter.com/headwaterschool,512-623-5419,k.wackman@headwaters.org,https://www.instagram.com/headwatersschool/
fansofwcras.com,46-4732266,https://www.facebook.com/FansOfWilliamsonCountyRegionalAnimalShelter,Fans of WCRAS,"1855 SE Inner Loop,Georgetown,  78626",,512-943-3817,carla@fansofwcras.org,
www.heartgift.org,74-2967809,https://www.facebook.com/HeartGiftAustin,HeartGift Foundation,"8015 Shoal Creek Blvd, Suite 207,Austin, Texas 78757",https://twitter.com/HeartGiftNews,512-560-0603,jhatch@heartgift.org,https://www.instagram.com/heartgiftfoundation/
www.haysfoodbank.org,74-2331781,https://www.facebook.com/HaysFoodBank,Hays County Food Bank,"220 Herndon St.,San Marcos, Texas 78666",https://twitter.com/haysfoodbank,512-392-8300,dblok@haysfoodbank.org,
www.hcwc.org,74-2020505,https://www.facebook.com/HCWCenter,Hays-Caldwell Women's Center,"P.O. Box 234,San Marcos,  78667-0234",https://twitter.com/HCWCenter,512-396-3404,hcunningham-kizer@hcwc.org,
www.handcentraltx.org,74-1888198,https://www.facebook.com/HANDofCentralTX?ref=hl,HAND,"1640B East 2nd Street #200,Austin, Texas 78702",https://twitter.com/HANDCentralTX,512-628-8187,cwethered@mealsonwheelscentraltexas.org,
www.harmonyarts.org,32-0002101,https://Facebook.com/harmonyschoolofcreativearts/,Harmony School of Creative Arts,"P.O. Box 1065,Marble Falls,  78654",,830-693-1791,info@harmonyarts.org,
